# 港股主表 · 来自港交所官方 ListOfSecurities · 更新至 19/08/2026
# 由 scripts/gen_hk_master_csv.py 生成 · 共 3226 条(股票/ETF/REITs)
# name_en 是港交所给的英文名 —— 公开数据里没有中文名,不臆造
code,name_en,category,lot_size
00621,TAUNG GOLD,Equity,5000
00622,OSHIDORI,Equity,3000
00623,GOLDENBRIDGE GP,Equity,1000
00626,PUBLIC FIN HOLD,Equity,2000
00627,VISION SYNERGY,Equity,20000
00628,TONGTONG AI SOC,Equity,2000
00629,YUE DA INTL,Equity,1000
00630,AMCO UNITED,Equity,10000
00631,SANY INT'L,Equity,1000
00632,CHK OIL,Equity,2000
00635,PLAYMATES,Equity,2000
00636,KLN,Equity,500
00637,LEE KEE,Equity,2000
00638,FIBOCOM,Equity,200
00639,SHOUGANG RES,Equity,2000
00640,INFINITY DEV,Equity,2000
00641,CHTC FONG'S INT,Equity,2000
00643,CARRY WEALTH,Equity,10000
00645,ARES ASIA,Equity,2000
00646,CHINA ENV TEC,Equity,8000
00648,SOFTMEDX,Equity,1000
00650,PRODUCTIVE TECH,Equity,2000
00653,BONJOUR HOLD,Equity,12000
00655,HK CHINESE LTD,Equity,2000
00656,FOSUN INTL,Equity,500
00657,G-VISION INT'L,Equity,2000
00658,C TRANSMISSION,Equity,1000
00659,CTF SERVICES,Equity,1000
00660,WAI CHUN BIOTEC,Equity,20000
00661,CDAYENONFER,Equity,2000
00662,ASIA FINANCIAL,Equity,2000
00664,TONGSHIFU,Equity,100
00666,REPT BATTERO,Equity,200
00667,CHINA EAST EDU,Equity,500
00668,ANKER,Equity,100
00669,TECHTRONIC IND,Equity,500
00670,CHINA EAST AIR,Equity,2000
00672,ZHONGAN GROUP,Equity,1000
00673,CHINA HEALTH,Equity,6000
00674,CHINA TANGSHANG,Equity,4000
00675,K & P INT'L,Equity,2000
00676,PEGASUS INT'L,Equity,2000
00677,GOLDEN RES DEV,Equity,2000
00679,ASIA TELE-NET,Equity,5000
00681,CHI PEOPLE HOLD,Equity,2000
00682,CHAODA MODERN,Equity,10000
00683,KERRY PPT,Equity,500
00684,ALLAN INT'L,Equity,2000
00685,MEDIA CHINESE,Equity,1000
00686,BJ ENERGY INTL,Equity,2000
00687,TYSAN HOLDINGS,Equity,2000
00688,CHINA OVERSEAS,Equity,500
00689,EPI (HOLDINGS),Equity,15000
00690,UNI-BIO GROUP,Equity,20000
00691,SHANSHUI CEMENT,Equity,1000
00693,TAN CHONG INT'L,Equity,3000
00694,BEIJING AIRPORT,Equity,2000
00695,DONGWU CEMENT,Equity,2000
00696,TRAVELSKY TECH,Equity,1000
00697,SHOUCHENG,Equity,2000
00698,TONGDA GROUP,Equity,1000
00699,JOYSON ELEC,Equity,500
00700,TENCENT,Equity,100
00701,CNT GROUP,Equity,2000
00702,SINO OIL & GAS,Equity,10000
00703,FUTURE BRIGHT,Equity,6000
00704,HUSCOKE HLDGS,Equity,5000
00707,ATV HOLDINGS,Equity,8000
00708,EVERG VEHICLE,Equity,500
00709,GIORDANO INT'L,Equity,2000
00710,BOE VARITRONIX,Equity,1000
00711,ASIA ALLIED INF,Equity,2000
00712,COMTEC SOLAR,Equity,10000
00713,WORLD HOUSEWARE,Equity,2000
00716,SINGAMAS CONT,Equity,2000
00717,EMPEROR CAPITAL,Equity,6000
00718,TAI UNITED HOLD,Equity,5000
00719,SHANDONG XINHUA,Equity,2000
00720,AUTO ITALIA,Equity,25000
00721,C FIN INT INV,Equity,10000
00722,UMP,Equity,2000
00723,RELIANCE GLO HL,Equity,30000
00725,PERENNIAL INT'L,Equity,2000
00726,DIT GROUP,Equity,5000
00727,SINOPROS CORP,Equity,10000
00728,CHINA TELECOM,Equity,2000
00730,CAPITAL IND FIN,Equity,1000
00731,C&D NEWIN,Equity,20000
00732,TRULY INT'L,Equity,2000
00733,HOPEFLUENT,Equity,2000
00736,CHINA PPT INV,Equity,3000
00737,BAY AREA DEV,Equity,500
00738,LE SAUNDA,Equity,2000
00743,ASIA CEMENT CH,Equity,500
00745,CN CULTURE-2000,Equity,2000
00746,L & M CHEMICAL,Equity,2000
00747,SHENYANG PUBLIC,Equity,2000
00750,SFSY ENERGY,Equity,1000
00751,SKYWORTH GROUP,Equity,2000
00752,PICO FAR EAST,Equity,2000
00753,AIR CHINA,Equity,2000
00754,HOPSON DEV HOLD,Equity,100
00755,DEVGREAT,Equity,5000
00756,SUMMI,Equity,8000
00757,SOLARGIGA,Equity,1000
00759,CEC INT'L HOLD,Equity,2000
00760,TALENT PPT GP,Equity,30000
00762,CHINA UNICOM,Equity,2000
00763,ZTE,Equity,200
00764,ETERNITY INV,Equity,10000
00765,PERFECTECH INTL,Equity,2000
00767,ZHONG JI LS,Equity,10000
00768,UBA INVESTMENTS,Equity,2000
00769,CHINA RAREEARTH,Equity,2000
00770,SHANGHAI GROWTH,Equity,1000
00771,AUTOMATED SYS,Equity,2000
00772,CHINA LIT,Equity,200
00775,CKLIFE SCIENCES,Equity,2000
00776,IMPERIUM TEC GP,Equity,5000
00777,NETDRAGON,Equity,500
00778,FORTUNE REIT,Real Estate Investment Trusts,1000
00780,TONGCHENGTRAVEL,Equity,400
00784,AILIFE INTL,Equity,10000
00788,CHINA TOWER,Equity,500
00789,ARTINI HLDG-NEW,Equity,5000
00794,COME SURE GROUP,Equity,2000
00797,7ROAD,Equity,2000
00798,CEOVU,Equity,4000
00799,IGG,Equity,1000
00800,WERIDE-W,Equity,100
00804,PINESTONE,Equity,5000
00805,NEW GONOW RV,Equity,2000
00806,VALUE PARTNERS,Equity,1000
00807,SIICENVIRONMENT,Equity,1000
00808,PROSPERITY REIT,Real Estate Investment Trusts,1000
00809,GLOBAL BIO-CHEM,Equity,10000
00810,CH CASTSON 81,Equity,6000
00811,XINHUA WINSHARE,Equity,1000
00813,SHIMAO GROUP,Equity,500
00814,JINGKELONG,Equity,1000
00815,CHI SILVER GP,Equity,2000
00816,JINMAO SERVICES,Equity,500
00817,CHINA JINMAO,Equity,2000
00818,HI SUN TECH,Equity,3000
00819,TIANNENG POWER,Equity,2000
00821,VC HOLDINGS,Equity,8000
00822,KA SHUI INT'L,Equity,2000
00823,LINK REIT,Real Estate Investment Trusts,100
00825,NWDS CHINA,Equity,1000
00826,TIANGONG INT'L,Equity,2000
00827,KO YO GROUP,Equity,4000
00828,DYNASTY WINES,Equity,2000
00829,SHENGUAN HLDGS,Equity,2000
00830,CSC DEVELOPMENT,Equity,2000
00831,CR ASIA,Equity,2000
00832,CENTRAL CHINA,Equity,1000
00833,ALLTRONICS,Equity,4000
00834,SHENGRONG HLDG,Equity,4000
00836,CHINA RES POWER,Equity,2000
00837,CARPENTER TAN,Equity,500
00838,EVA HOLDINGS,Equity,2000
00839,CHINA EDU GROUP,Equity,1000
00840,TIANYE WATER,Equity,2000
00841,CASSAVA RES,Equity,2000
00842,LEOCH INT'L,Equity,1000
00844,GREATIME INTL,Equity,4000
00845,GLORIOUS PPT H,Equity,1000
00846,MINGFA GROUP,Equity,1000
00848,MAOYE INT'L,Equity,1000
00851,SHENG YUAN HLDG,Equity,10000
00852,STRONG PETRO,Equity,2000
